x,y,z
-0.0421549,-0.0848757,0.066217
-0.0422884,-0.0854065,0.0637348
-0.0423874,-0.0858816,0.0612395
-0.0424522,-0.0863007,0.0587327
-0.0424828,-0.0866632,0.0562161
-0.0424794,-0.0869688,0.0536915
-0.0424421,-0.0872173,0.0511606
-0.0423713,-0.0874083,0.0486252
-0.0422671,-0.0875416,0.0460869
0.908227,2.68428,0.0815959
0.903278,2.6839,0.155762
0.897722,2.68167,0.229852
0.891566,2.67759,0.303816
0.891023,2.69052,0.379952
0.886724,2.69209,0.455463
0.881495,2.6908,0.531041
0.875952,2.68851,0.606945
0.87248,2.69263,0.684964
0.865685,2.68637,0.761298
0.861202,2.6873,0.840363
0.855762,2.68521,0.919594
0.849664,2.68097,0.999175
0.0014497,-0.0236937,0.237155
0.00220728,-0.0206056,0.158825
0.000427411,-0.0293033,0.156931
-0.0129343,-0.104919,0.171359
-0.0156506,-0.120487,0.182839
-0.0173317,-0.130709,0.186959
-0.0177813,-0.134361,0.183463
-0.0182027,-0.137923,0.179871
-0.0173024,-0.134165,0.169399
-0.0176485,-0.137367,0.16582
-0.0179679,-0.140476,0.162157
-0.0169148,-0.135755,0.152222
-0.0171665,-0.138515,0.148608
-0.0173932,-0.141181,0.144923
-0.0163485,-0.136375,0.136169
-0.0151211,-0.13038,0.12721
-0.0152571,-0.132496,0.12375
-0.0153716,-0.134522,0.120236
-0.0154647,-0.136458,0.11667
-0.0155367,-0.138302,0.113055
-0.0155878,-0.140052,0.109392
-0.01419,-0.132631,0.101738
-0.0141995,-0.134089,0.0982307
-0.0141902,-0.135457,0.0946868
-0.0127357,-0.127371,0.0878942
-0.012693,-0.128471,0.0845329
-0.0126336,-0.129484,0.0811443
-0.0125581,-0.130409,0.0777305
-0.0124666,-0.131246,0.0742939
-0.0123596,-0.131993,0.070837
-0.0122375,-0.13265,0.067362
-0.0121005,-0.133217,0.0638713
-0.0119491,-0.133694,0.0603673
-0.0117836,-0.134079,0.0568524
-0.0116046,-0.134372,0.0533291
-0.0114123,-0.134574,0.0497998
-0.0112073,-0.134684,0.0462668
-0.104682,2.61857,0.0873841
-0.109259,2.62636,0.156395
-0.113323,2.62235,0.225166
-0.107213,2.40374,0.273535
-0.122556,2.63769,0.365792
-0.126792,2.63707,0.436124
-0.13098,2.63556,0.506825
-0.135588,2.64193,0.579709
-0.139512,2.63558,0.650789
-0.144409,2.64664,0.726899
-0.148708,2.64686,0.801541
-0.152823,2.64402,0.876371
-0.156857,2.64001,0.951904
0.00956709,-0.0199639,0.266497
0.0100914,-0.0233007,0.246014
0.00965271,-0.0200759,0.187931
0.0346879,-0.163092,0.339733
0.0354709,-0.166035,0.327551
0.0358555,-0.143186,0.136867
0.0332757,-0.12942,0.123314
0.0356626,-0.139902,0.124651
0.03088,-0.115814,0.106967
0.0297323,-0.109412,0.0998582
0.031897,-0.118752,0.100617
0.0323865,-0.120096,0.0973841
0.0348189,-0.130447,0.0977897
0.0392966,-0.150068,0.101102
0.0378198,-0.142139,0.0938423
0.0362599,-0.133954,0.0870449
0.0367071,-0.134936,0.0834018
0.0350197,-0.126357,0.0773021
0.0354024,-0.127095,0.0738629
0.0357677,-0.127743,0.0704035
0.0361148,-0.128302,0.0669264
0.0364434,-0.128771,0.0634339
0.0367529,-0.12915,0.0599285
0.0370428,-0.129439,0.0564124
0.0373126,-0.129638,0.0528882
0.0398684,-0.13947,0.0497182
0.0401137,-0.13949,0.0459232
0.0182495,-0.0165272,0.285335
0.0177954,-0.0157395,0.227079
0.0227174,-0.0234054,0.255091
0.0303526,-0.0352653,0.30242
0.109992,-0.154291,0.448301
0.111342,-0.155772,0.426221
0.109517,-0.152477,0.395505
0.112087,-0.155775,0.381781
0.111461,-0.154286,0.359524
0.110558,-0.152395,0.338434
0.125087,-0.168522,0.246188
0.107638,-0.142895,0.207603
0.10638,-0.140593,0.196978
0.104425,-0.137311,0.18597
0.106745,-0.140122,0.181409
0.104358,-0.136252,0.170823
0.106456,-0.138732,0.166291
0.108493,-0.141109,0.161675
0.105533,-0.136469,0.151698
0.107353,-0.138532,0.147148
0.10911,-0.140492,0.142529
0.106127,-0.135865,0.133703
0.10768,-0.137538,0.129163
0.109169,-0.139109,0.124565
0.110592,-0.140577,0.119912
0.106452,-0.134425,0.111562
0.113235,-0.143204,0.110454
0.108827,-0.136719,0.102503
0.104229,-0.130018,0.0950093
0.105192,-0.130866,0.0906333
0.106089,-0.131619,0.0862257
0.10692,-0.132277,0.0817895
0.107683,-0.132839,0.0773278
0.108378,-0.133306,0.0728435
0.109004,-0.133676,0.0683398
0.109561,-0.133951,0.0638198
0.0986042,-0.119047,0.0576719
0.10502,-0.127063,0.0542133
0.105345,-0.127051,0.0498983
0.117158,-0.142029,0.0457038
0.0664767,-0.0414429,0.374391
-0.996158,-0.066656,0.62527
-0.989034,-0.0677367,0.656458
-0.980122,-0.0686574,0.687125
-0.971101,-0.069541,0.718314
-0.961118,-0.0703186,0.749473
